opinion_id	field	garbled_token	nearest_roster	edit_distance
4018	judges	Buree	burke	1
4021	judges	Bueke	burke	1
4022	judges	Bueke	burke	1
4024	judges	Bueke	burke	1
4025	judges	Buree	burke	1
4027	judges	Buree	burke	1
4027	judges	Bueke	burke	1
4028	judges	Bubke	burke	1
4029	judges	Bubke	burke	1
4032	judges	Bueke	burke	1
4032	judges	Bure	burke	1
4034	judges	Bueke	burke	1
4035	judges	Bueke	burke	1
4036	judges	Bubke	burke	1
4038	judges	Bueke	burke	1
4038	judges	Bure	burke	1
4040	judges	Bubke	burke	1
4041	judges	Bukr	burr	1
4043	judges	Bueke	burke	1
4047	judges	Bure	burke	1
4049	judges	Bcrke	burke	1
4051	judges	Bure	burke	1
4065	judges	Burice	bruce	2
4081	judges	Burice	bruce	2
4089	judges	Bukr	burr	1
4093	judges	Burice	bruce	2
4101	judges	Bure	burke	1
4143	judges	Burice	bruce	2
4153	judges	Burice	bruce	2
4155	judges	Buree	burke	1
4158	judges	Buer	burr	1
4159	judges	Burice	bruce	2
4160	judges	Buree	burke	1
4163	judges	Burice	bruce	2
4164	judges	Burice	bruce	2
4167	judges	Burice	bruce	2
4173	judges	Buree	burke	1
4174	judges	Buree	burke	1
4175	judges	Bure	burke	1
4175	judges	Buree	burke	1
4177	judges	Burb	burr	1
4177	judges	Bueke	burke	1
4180	judges	Bueke	burke	1
4181	judges	Bure	burke	1
4183	judges	Buer	burr	1
4184	judges	Buree	burke	1
4186	judges	Burice	bruce	2
4188	judges	Bukke	burke	1
4189	judges	Buree	burke	1
4190	judges	Buer	burr	1
4190	judges	Buree	burke	1
4192	judges	Bubke	burke	1
4192	judges	Bukr	burr	1
4195	judges	Buree	burke	1
4196	judges	Buree	burke	1
4197	judges	Bure	burke	1
4197	judges	Bueke	burke	1
4198	judges	Burice	bruce	2
4200	judges	Bueke	burke	1
4201	judges	Burice	bruce	2
4205	judges	Buree	burke	1
4209	judges	Buur	burr	1
4211	judges	Bueke	burke	1
4212	judges	Bure	burke	1
4213	judges	Buree	burke	1
4213	judges	Buer	burr	1
4215	judges	Bueke	burke	1
4217	judges	Bukke	burke	1
4218	judges	Bukke	burke	1
4219	judges	Buree	burke	1
4224	judges	Burice	bruce	2
4239	judges	Bueke	burke	1
4252	judges	Buree	burke	1
4269	judges	Burice	bruce	2
4271	judges	Burice	bruce	2
4274	judges	Buree	burke	1
4276	judges	Bure	burke	1
4277	judges	Burice	bruce	2
4278	judges	Burice	bruce	2
4282	judges	Burice	bruce	2
4288	judges	Burice	bruce	2
4297	judges	Burice	bruce	2
4305	judges	Burice	bruce	2
4312	judges	Burice	bruce	2
4323	judges	Bure	burke	1
4327	judges	Burice	bruce	2
4338	judges	Bure	burke	1
4347	judges	Bure	burke	1
4352	judges	Buree	burke	1
4355	judges	Buree	burke	1
4357	judges	Buree	burke	1
4362	judges	Buree	burke	1
4363	judges	Buree	burke	1
4365	judges	Burice	bruce	2
4367	judges	Burk	burke	1
4369	judges	Buejke	burke	2
4370	judges	Bubke	burke	1
4371	judges	Bubke	burke	1
4373	judges	Burxe	burke	1
4374	judges	Buree	burke	1
4378	judges	Burice	bruce	2
4380	judges	Buree	burke	1
4385	judges	Burice	bruce	2
4388	judges	Buimke	burke	2
4389	judges	Buree	burke	1
4390	judges	Bubke	burke	1
4391	judges	Bueke	burke	1
4392	judges	Buree	burke	1
4393	judges	Buree	burke	1
4395	judges	Burk	burke	1
4398	judges	Buree	burke	1
4401	judges	Buer	burr	1
4402	judges	Bure	burke	1
4404	judges	Bubke	burke	1
4406	judges	Buer	burr	1
4410	judges	Buke	burke	1
4412	judges	Bukr	burr	1
4413	judges	Bukke	burke	1
4416	judges	Bubke	burke	1
4417	judges	Bukke	burke	1
4419	judges	Bueke	burke	1
4422	judges	Bure	burke	1
4422	judges	Buree	burke	1
4423	judges	Bukr	burr	1
4426	judges	Buree	burke	1
4428	judges	Bubr	burr	1
4435	judges	Buuke	burke	1
4436	judges	Buer	burr	1
4438	judges	Buer	burr	1
4439	judges	Buer	burr	1
4442	judges	Bueke	burke	1
4443	judges	Bueke	burke	1
4445	judges	Bukke	burke	1
4447	judges	Bubke	burke	1
4452	judges	Bure	burke	1
