oid	neutral	year	pages	fullpage_imgs	img_mp	kb_per_page	classification	has_2nd_source	pdf_path
18259	1997 ND 198	1997	2	0	0.0	13	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND198.pdf
12541	1997 ND 210	1997	7	0	0.0	33	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND210.pdf
12552	1997 ND 203	1997	20	0	0.0	30	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND203.pdf
12553	1997 ND 207	1997	14	0	0.0	32	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND207.pdf
12554	1997 ND 212	1997	11	0	0.0	33	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND212.pdf
12555	1997 ND 209	1997	7	0	0.0	20	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND209.pdf
12556	1997 ND 213	1997	15	0	0.0	25	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND213.pdf
12559	1997 ND 204	1997	9	0	0.0	6	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND204.pdf
12564	1997 ND 205	1997	35	0	0.0	4	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND205.pdf
18260	1997 ND 206	1997	2	0	0.0	23	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND206.pdf
18261	1997 ND 208	1997	2	0	0.0	34	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND208.pdf
18262	1997 ND 211	1997	2	0	0.0	23	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND211.pdf
12557	1997 ND 214	1997	11	0	0.0	5	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND214.pdf
12366	1997 ND 11	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND11.pdf
12581	1997 ND 215	1997	2	0	0.0	19	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND215.pdf
12560	1997 ND 225	1997	10	0	0.0	5	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND225.pdf
12561	1997 ND 224	1997	13	0	0.0	5	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND224.pdf
12562	1997 ND 227	1997	6	0	0.0	8	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND227.pdf
12565	1997 ND 229	1997	14	0	0.0	5	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND229.pdf
12566	1997 ND 223	1997	17	0	0.0	4	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND223.pdf
12567	1997 ND 231	1997	11	0	0.0	6	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND231.pdf
